domain,cell,n,pos_rate,pool,dropped,subsets,nan_auroc,K1_fallback,anchor,method,seconds
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,198,0.242,14,trace_length;dominant_freq,16278,0,0,epr,residual,332.4
gpqa,Llama-8B_T1.0,198,0.268,16,-,65399,0,0,epr,residual,1220.9
gpqa,Mistral-7B_T1.0,198,0.253,16,-,65399,0,0,epr,residual,1462.9
gpqa,Qwen-7B_T1.0,198,0.303,16,-,65399,0,0,epr,residual,1227.6
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,198,0.404,16,-,65399,0,0,epr,residual,1289.6
gsm8k,Llama-8B_T1.0,1319,0.791,16,-,65399,0,0,epr,residual,1259.4
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,300,0.41,15,trace_length,32647,0,0,epr,residual,612.1
math500,Qwen-Math-7B_T1.0,300,0.28,14,trace_length;dominant_freq,16278,0,0,epr,residual,372.9
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,300,0.443,16,-,65399,0,0,epr,residual,1263.6
math500,deepseek-math-7b-instruct_T1.0,300,0.197,16,-,65399,0,0,epr,residual,831.8
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,0.277,16,-,65399,0,0,epr,residual,1233.6
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,0.038,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,305.5
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,0.114,16,-,65399,0,0,epr,residual,1243.6
rag,Llama-8B/2wikimultihopqa,99,0.253,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,387.9
rag,Llama-8B/hotpotqa,93,0.312,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,304.5
rag,Llama-8B/narrativeqa,459,0.146,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,356.4
rag,Llama-8B/natural-questions,121,0.066,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,303.4
rag,Mistral-24B/2wikimultihopqa,47,0.319,16,-,65399,0,0,epr,residual,2209.9
rag,Mistral-24B/hotpotqa,46,0.391,16,-,65399,0,0,epr,residual,2336.8
rag,Mistral-24B/narrativeqa,238,0.143,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,313.0
rag,Mistral-24B/natural-questions,44,0.205,16,-,65399,0,0,epr,residual,1227.2
rag,Qwen-72B/2wikimultihopqa,198,0.116,15,rpdi,32647,0,0,epr,residual,626.1
rag,Qwen-72B/hotpotqa,169,0.154,15,rpdi,32647,0,0,epr,residual,606.6
rag,Qwen-72B/narrativeqa,345,0.104,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,318.0
rag,Qwen-72B/natural-questions,171,0.129,13,stft_max_high_power;stft_spectral_entropy;rpdi,8100,0,0,epr,residual,187.4
rag,Qwen-7B/2wikimultihopqa,192,0.073,16,-,65399,0,0,epr,residual,1472.3
rag,Qwen-7B/hotpotqa,169,0.089,16,-,65399,0,0,epr,residual,1360.4
rag,Qwen-7B/narrativeqa,235,0.119,16,-,65399,0,0,epr,residual,1362.7
rag,Qwen-7B/natural-questions,103,0.107,16,-,65399,0,0,epr,residual,1488.5
repgrid,ars_gsm8k_r1distill8b,500,0.728,16,-,65399,0,0,epr,residual,1187.8
repgrid,epr_triviaqa_mistral24b,621,0.755,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,312.1
repgrid,inside_coqa_llama7b,4504,0.147,15,trace_length,32647,0,0,epr,residual,1920.1
repgrid,internalstates_gsm8k_qwen25_7b,500,0.306,16,-,65399,0,0,epr,residual,1197.8
repgrid,lapeigvals_gsm8k_llama3b,1319,0.445,16,-,65399,0,0,epr,residual,1191.8
repgrid,lapeigvals_gsm8k_llama8b,500,0.724,16,-,65399,0,0,epr,residual,1163.4
repgrid,lapeigvals_gsm8k_mistral24b,1319,0.917,16,-,65399,0,0,epr,residual,1210.0
repgrid,lapeigvals_gsm8k_nemo,1319,0.829,16,-,65399,0,0,epr,residual,1204.0
repgrid,lapeigvals_gsm8k_phi35,1319,0.848,16,-,65399,0,0,epr,residual,1153.1
repgrid,losnet_hotpotqa_mistral7b,500,0.338,16,-,65399,0,0,epr,residual,1198.5
repgrid,noise_gsm8k_mistral7b,1319,0.499,16,-,65399,0,0,epr,residual,1174.4
repgrid,noise_gsm8k_phi3mini,1319,0.71,16,-,65399,0,0,epr,residual,1154.2
repgrid,sciq_llama8b,198,0.662,16,-,65399,0,0,epr,residual,1213.1
repgrid,se_nq_open_llama8b,8460,0.485,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,307.2
repgrid,se_squad_v2_llama8b,2933,0.28,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,294.9
repgrid,seiclr_triviaqa_opt30b,4993,0.464,15,trace_length,32647,0,0,epr,residual,591.1
repgrid,semenergy_triviaqa_qwen3_8b,4392,0.477,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,303.9
repgrid,spilled_triviaqa_llama8b,256,0.023,14,stft_max_high_power;stft_spectral_entropy,16278,0,0,epr,residual,287.2
repgrid,truthfulqa_llama8b,7633,0.106,16,-,65399,0,0,epr,residual,1309.5
trace,gpqa_r1_7b_raw,150,0.287,15,trace_length,32647,0,0,epr,residual,600.0
trace,gsm8k_llama8b_raw,200,0.8,16,-,65399,0,0,epr,residual,1232.5
trace,math500_qwen1.5b_raw,400,0.207,16,-,65399,0,0,epr,residual,1234.3
