domain,cell,rho_bin,n,mean_auroc,p95_auroc
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,<0.25,91,0.5295,0.5946
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,0.25-0.5,877,0.5567,0.5868
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,0.5-0.75,3541,0.5654,0.5865
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,>=0.75,11769,0.5547,0.5708
gpqa,Llama-8B_T1.0,<0.25,100,0.5081,0.5413
gpqa,Llama-8B_T1.0,0.25-0.5,691,0.5083,0.5438
gpqa,Llama-8B_T1.0,0.5-0.75,8299,0.5133,0.5373
gpqa,Llama-8B_T1.0,>=0.75,56309,0.5247,0.5512
gpqa,Mistral-7B_T1.0,<0.25,212,0.464,0.5578
gpqa,Mistral-7B_T1.0,0.25-0.5,1627,0.4391,0.5562
gpqa,Mistral-7B_T1.0,0.5-0.75,6227,0.4275,0.4851
gpqa,Mistral-7B_T1.0,>=0.75,57333,0.4304,0.4709
gpqa,Qwen-7B_T1.0,<0.25,90,0.489,0.5484
gpqa,Qwen-7B_T1.0,0.25-0.5,1772,0.4981,0.5694
gpqa,Qwen-7B_T1.0,0.5-0.75,13368,0.4861,0.5708
gpqa,Qwen-7B_T1.0,>=0.75,50169,0.4693,0.5771
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,<0.25,141,0.4585,0.5576
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,0.25-0.5,1069,0.4627,0.5846
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,0.5-0.75,6727,0.4219,0.5478
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,>=0.75,57462,0.42,0.5234
gsm8k,Llama-8B_T1.0,<0.25,108,0.6219,0.7174
gsm8k,Llama-8B_T1.0,0.25-0.5,2605,0.682,0.7428
gsm8k,Llama-8B_T1.0,0.5-0.75,13284,0.6928,0.7496
gsm8k,Llama-8B_T1.0,>=0.75,49402,0.7141,0.7489
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,<0.25,16,0.6605,0.7407
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,0.25-0.5,248,0.7797,0.8289
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,0.5-0.75,2956,0.7982,0.8404
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,>=0.75,29427,0.8066,0.8382
math500,Qwen-Math-7B_T1.0,0.25-0.5,22,0.8566,0.9234
math500,Qwen-Math-7B_T1.0,0.5-0.75,391,0.9231,0.9487
math500,Qwen-Math-7B_T1.0,>=0.75,15859,0.9388,0.9484
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,<0.25,49,0.6807,0.791
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,0.25-0.5,95,0.7621,0.8359
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,0.5-0.75,1099,0.82,0.8637
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,>=0.75,64156,0.8615,0.875
math500,deepseek-math-7b-instruct_T1.0,<0.25,76,0.6071,0.7088
math500,deepseek-math-7b-instruct_T1.0,0.25-0.5,1087,0.6764,0.728
math500,deepseek-math-7b-instruct_T1.0,0.5-0.75,4985,0.6953,0.7278
math500,deepseek-math-7b-instruct_T1.0,>=0.75,59251,0.6932,0.7229
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,<0.25,277,0.5375,0.6603
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,0.25-0.5,2103,0.5452,0.6336
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,0.5-0.75,18992,0.5643,0.6304
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,>=0.75,44027,0.5508,0.6097
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,<0.25,187,0.6641,0.94
