cell,model,dataset,n_problems,acc,subset,method,n_feats,auroc_X,lo,hi,n_rows,valid_rate,published_Y,Y_method,delta_X_minus_Y,head_to_head,flipped
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,consensus_4,lsml,4,0.7349,0.6837,0.786,500,1.0,0.7472,ARS (CCS),-0.0123,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,consensus_4,upcr,4,0.737,0.6881,0.7863,500,1.0,0.7472,ARS (CCS),-0.0102,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,GOOD_5,lsml,5,0.75,0.7036,0.7972,500,1.0,0.7472,ARS (CCS),0.0028,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,GOOD_5,upcr,5,0.6913,0.6394,0.7429,500,1.0,0.7472,ARS (CCS),-0.0559,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,top_macro_5,lsml,5,0.7536,0.705,0.8038,500,1.0,0.7472,ARS (CCS),0.0064,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,top_macro_5,upcr,5,0.7573,0.7105,0.8049,500,1.0,0.7472,ARS (CCS),0.0101,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,STABLE_H9,lsml,9,0.644,0.5841,0.6961,500,1.0,0.7472,ARS (CCS),-0.1032,SAME-MODEL,True
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,STABLE_H9,upcr,9,0.6145,0.5626,0.6679,500,1.0,0.7472,ARS (CCS),-0.1327,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,ALL_H16,lsml,16,0.3643,0.3104,0.4213,500,1.0,0.7472,ARS (CCS),-0.3829,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,ALL_H16,upcr,16,0.4636,0.4071,0.5222,500,1.0,0.7472,ARS (CCS),-0.2836,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,GOOD_5+spilled,lsml,9,0.745,0.697,0.7925,500,1.0,0.7472,ARS (CCS),-0.0022,SAME-MODEL,True
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,GOOD_5+spilled,upcr,9,0.7162,0.6672,0.7678,500,1.0,0.7472,ARS (CCS),-0.031,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,GOOD_5+energy,lsml,5,0.75,0.7036,0.7972,500,1.0,0.7472,ARS (CCS),0.0028,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,GOOD_5+energy,upcr,5,0.6913,0.6394,0.7429,500,1.0,0.7472,ARS (CCS),-0.0559,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,GOOD_5+logprob,lsml,8,0.7557,0.7122,0.8009,500,1.0,0.7472,ARS (CCS),0.0085,SAME-MODEL,False
ars_gsm8k_r1distill8b,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,gsm8k,500,0.728,GOOD_5+logprob,upcr,8,0.6688,0.6186,0.7189,500,1.0,0.7472,ARS (CCS),-0.0784,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,consensus_4,lsml,4,0.6708,0.6247,0.7154,621,0.621,0.746,EPR,-0.0752,SAME-MODEL,True
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,consensus_4,upcr,4,0.7097,0.6639,0.753,621,0.621,0.746,EPR,-0.0363,SAME-MODEL,False
