architecture,auprc,auroc,base_architecture,budget,calibration_f1,clean_abstention,exact_error,f1,family,locator,model,n,primary,task,threshold,weight,within_one
a_one_shared__w1.00__peak,0.812509510647214,0.8041368743615935,a_one_shared,,,,,,gsm8k,peak,qwen3_4b,177,0.8041368743615935,global,,1.0,
a_one_shared__w1.00__peak,,,a_one_shared,,0.29361389772449226,0.4457831325301205,0.2872340425531915,0.3493617765343591,gsm8k,peak,qwen3_4b,177,0.3493617765343591,local,-0.28896183059317443,1.0,0.5106382978723404
a_one_shared__w1.00__peak,,,a_one_shared,,,,,,gsm8k,peak,qwen3_4b,0,0.7105399400508786,online,,1.0,
a_one_shared__w1.00__peak,0.6308696213016699,0.6087844739530133,a_one_shared,16,,,,,gsm8k,peak,qwen3_4b,177,0.6087844739530133,online_budget,,1.0,
a_one_shared__w1.00__peak,0.6446366626354776,0.6036772216547497,a_one_shared,32,,,,,gsm8k,peak,qwen3_4b,177,0.6036772216547497,online_budget,,1.0,
a_one_shared__w1.00__peak,0.6827979740697967,0.6699438202247191,a_one_shared,64,,,,,gsm8k,peak,qwen3_4b,177,0.6699438202247191,online_budget,,1.0,
a_one_shared__w1.00__peak,0.7540068972068532,0.7511360598770381,a_one_shared,128,,,,,gsm8k,peak,qwen3_4b,173,0.7511360598770381,online_budget,,1.0,
a_one_shared__w1.00__peak,0.9001946076235124,0.8365339578454332,a_one_shared,256,,,,,gsm8k,peak,qwen3_4b,96,0.8365339578454332,online_budget,,1.0,
a_one_shared__w1.00__peak,nan,nan,a_one_shared,512,,,,,gsm8k,peak,qwen3_4b,5,nan,online_budget,,1.0,
a_one_shared__w1.00__persistent_onset,0.812509510647214,0.8041368743615935,a_one_shared,,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.8041368743615935,global,,1.0,
a_one_shared__w1.00__persistent_onset,,,a_one_shared,,0.29361389772449226,0.4457831325301205,0.30851063829787234,0.3646559048428207,gsm8k,persistent_onset,qwen3_4b,177,0.3646559048428207,local,-0.28896183059317443,1.0,0.5212765957446809
a_one_shared__w1.00__persistent_onset,,,a_one_shared,,,,,,gsm8k,persistent_onset,qwen3_4b,0,0.7105399400508786,online,,1.0,
a_one_shared__w1.00__persistent_onset,0.6308696213016699,0.6087844739530133,a_one_shared,16,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6087844739530133,online_budget,,1.0,
a_one_shared__w1.00__persistent_onset,0.6446366626354776,0.6036772216547497,a_one_shared,32,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6036772216547497,online_budget,,1.0,
a_one_shared__w1.00__persistent_onset,0.6827979740697967,0.6699438202247191,a_one_shared,64,,,,,gsm8k,persistent_onset,qwen3_4b,177,0.6699438202247191,online_budget,,1.0,
a_one_shared__w1.00__persistent_onset,0.7540068972068532,0.7511360598770381,a_one_shared,128,,,,,gsm8k,persistent_onset,qwen3_4b,173,0.7511360598770381,online_budget,,1.0,
a_one_shared__w1.00__persistent_onset,0.9001946076235124,0.8365339578454332,a_one_shared,256,,,,,gsm8k,persistent_onset,qwen3_4b,96,0.8365339578454332,online_budget,,1.0,
